Code,Module,Type,Route,Status,Test,Issue
M1,Login,page,/login,done,,
M2,Admin,page,/admin,partial,,
M2.1,"  devices",page,/admin/devices,done,,
M2.1.1,"    assign-device",page,/admin/assign-device,,,
M2.2,"  drivers",page,/admin/drivers,done,,
M2.3,"  rooms",page,/admin/rooms,done,,
M2.4,"  settings",page,/admin/settings,done,,
M2.5,"  transport-companies",page,/admin/transport-companies,done,,
M2.6,"  trip-purpose",page,/admin/trip-purpose,done,,
M2.7,"  vehicles",page,/admin/vehicles,done,,
M2.8,"  videos",page,/admin/videos,,,
M2.9,"  vouchers",page,/admin/vouchers,done,,"How to deliver voucher codes? (email/web/push)"
M3,Dashboard,page,/dashboard,done,,
M4,Meeting,page,/meeting,partial,,"Do all meetings need approval? (recommend: configurable per room)"
M4.1,"  book",page,/meeting/book,done,,
M4.2,"  bookings",page,/meeting/bookings,done,,
M4.3,"  calendar",page,/meeting/calendar,done,,
M5,Transportation,page,/transportation,partial,,
M5.1,"  booking",page,/transportation/booking,done,,"Auto-offer voucher when car unavailable? (recommend: admin decides)"
M5.2,"  request",page,/transportation/request,done,,
M5.3,"  tracking",page,/transportation/tracking,planned,,"How to mark trip completed? (recommend: driver confirms + 12h auto)"
M6,Room Display,page,/device,partial,,
M6.1,"  auth",page,/device/auth,done,,
M6.2,"  display",page,/device/display,done,,
M7,API,api,/api/v1,partial,,
M7.1,"  settings",api,/api/v1/settings,done,,
M7.2,"  users",api,/api/v1/users,done,,
M7.3,"  roles",api,/api/v1/roles,done,,
M7.4,"  positions",api,/api/v1/positions,done,,
M7.5,"  departments",api,/api/v1/departments,done,,
M7.6,"  companies",api,/api/v1/companies,done,,
M7.7,"  approval-workflows",api,/api/v1/approval-workflows,planned,,
M7.8,"  sync",api,/api/v1/sync,done,,
M7.9,"  scim",api,/api/v1/scim,done,,
M7.10,"  locations",api,/api/v1/locations,done,,
M7.11,"  rooms",api,/api/v1/rooms,done,,
M7.12,"  devices",api,/api/v1/devices,done,,
M7.13,"  facility",api,/api/v1/facilities,planned,,
M7.14,"  videos",api,/api/v1/videos,,,
M7.15,"  meeting",api,/api/v1/meeting,done,,
M7.16,"  meetings",api,/api/v1/meetings,done,,
M7.17,"  transport",api,/api/v1/transport,done,,
M7.18,"  drivers",api,/api/v1/drivers,done,,"When to notify drivers? (recommend: immediate + 2h reminder)"
M7.19,"  vehicles",api,/api/v1/vehicles,done,,
M7.20,"  trip-purposes",api,/api/v1/trip-purposes,done,,
M7.21,"  transport-companies",api,/api/v1/transport-companies,done,,
M7.22,"  vouchers",api,/api/v1/vouchers,done,,
M8,Facility,page,,planned,,
M9,Mobile Apps,app,,planned,,
M9.1,"  driver-app",app,,planned,,
M9.2,"  employee-app",app,,planned,,
